Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
19.4,40.4,27.1,Red,Maize,48,43,28,17-17-17
37.7,74.6,41.7,Laterite,Pulses,38,4,19,20-20
18.1,61.0,36.9,Clayey,Rice,49,17,3,20-20
23.5,81.0,26.8,Alluvial,Sugarcane,14,23,48,20-20
37.1,75.9,35.4,Laterite,Cotton,5,45,38,10-26-26
36.1,84.5,54.7,Red,Barley,3,19,7,20-20
34.6,45.4,26.9,Sandy,Groundnuts,25,48,40,17-17-17
34.5,76.0,50.2,Red,Tobacco,22,8,48,20-20
37.9,47.8,40.8,Laterite,Wheat,49,16,17,20-20
34.3,50.1,34.0,Red,Barley,46,8,24,20-20
35.2,60.6,40.6,Clayey,Cotton,27,8,28,28-28
35.0,41.6,38.2,Alluvial,Wheat,24,10,4,20-20
25.5,51.7,53.9,Laterite,Maize,25,5,17,20-20
20.2,80.3,64.7,Laterite,Sugarcane,49,44,39,17-17-17
29.4,69.8,46.8,Black,Wheat,12,32,44,10-26-26
35.4,51.0,31.3,Red,Groundnuts,47,12,40,28-28
31.6,67.8,55.1,Sandy,Pulses,6,42,4,10-26-26
18.6,77.2,30.2,Alluvial,Tobacco,42,38,29,17-17-17
29.1,74.0,35.3,Laterite,Maize,1,12,31,DAP
30.6,51.7,50.4,Alluvial,Rice,23,34,44,17-17-17
33.2,64.4,63.5,Red,Groundnuts,27,29,14,14-35-14
33.8,47.8,55.8,Sandy,Sugarcane,3,16,26,20-20
29.6,55.6,49.8,Alluvial,Groundnuts,17,13,49,20-20
20.6,74.1,26.0,Red,Cotton,10,5,32,DAP
31.7,60.1,35.9,Red,Wheat,28,16,3,20-20
35.1,63.7,58.0,Sandy,Wheat,10,1,31,DAP
20.6,79.1,63.5,Clayey,Cotton,27,20,28,20-20
37.3,74.2,42.7,Red,Sugarcane,0,14,37,DAP
22.0,79.1,53.6,Sandy,Maize,17,43,14,10-26-26
21.7,79.1,56.1,Laterite,Barley,14,45,26,10-26-26
18.4,75.9,36.8,Laterite,Maize,23,19,2,20-20
20.3,45.6,52.4,Clayey,Pulses,35,37,8,14-35-14
19.3,66.2,35.8,Laterite,Pulses,23,10,7,20-20
19.4,57.7,44.2,Sandy,Rice,30,31,37,17-17-17
37.1,80.9,54.0,Alluvial,Pulses,23,16,40,20-20
20.8,62.4,49.7,Clayey,Pulses,19,9,32,20-20
24.5,63.3,28.5,Black,Barley,12,32,29,10-26-26
25.9,46.0,47.7,Black,Cotton,45,14,49,28-28
21.3,44.7,50.5,Black,Maize,2,8,5,20-20
19.0,64.4,53.4,Alluvial,Groundnuts,7,49,7,10-26-26
30.2,61.8,51.4,Clayey,Cotton,15,5,3,20-20
27.0,69.0,46.1,Clayey,Tobacco,41,10,13,Urea
29.9,69.3,44.2,Clayey,Maize,18,35,45,10-26-26
33.8,69.6,44.9,Sandy,Barley,17,17,5,20-20
24.6,64.4,44.7,Clayey,Wheat,27,34,9,14-35-14
22.1,77.8,32.0,Loamy,Groundnuts,20,23,30,20-20
24.9,56.7,64.5,Sandy,Cotton,23,48,49,17-17-17
26.8,72.6,44.5,Alluvial,Wheat,1,33,14,10-26-26
31.1,84.6,36.4,Clayey,Cotton,11,44,2,10-26-26
32.7,45.9,53.6,Sandy,Maize,47,22,29,17-17-17
25.5,63.1,41.5,Laterite,Tobacco,37,40,44,17-17-17
26.1,66.7,48.2,Laterite,Groundnuts,19,38,1,10-26-26
25.8,83.6,35.3,Alluvial,Groundnuts,36,0,4,Urea
20.6,83.6,43.2,Laterite,Barley,10,2,9,20-20
24.6,60.2,51.8,Clayey,Groundnuts,40,4,0,Urea
37.0,51.4,39.4,Red,Cotton,27,36,42,17-17-17
27.5,78.0,57.2,Laterite,Sugarcane,27,14,46,28-28
28.8,41.5,64.5,Laterite,Groundnuts,8,19,36,20-20
30.8,50.1,32.2,Sandy,Tobacco,4,48,32,10-26-26
31.8,57.9,44.2,Clayey,Wheat,42,24,33,17-17-17
35.4,60.5,45.6,Sandy,Maize,49,43,22,17-17-17
20.5,46.0,30.7,Laterite,Groundnuts,49,7,41,28-28
19.9,70.3,42.8,Sandy,Maize,4,21,46,20-20
34.8,82.5,52.3,Alluvial,Maize,49,16,17,20-20
29.4,41.4,62.2,Loamy,Tobacco,45,32,3,14-35-14
36.8,77.2,51.7,Red,Rice,40,27,25,17-17-17
30.1,54.3,59.7,Black,Maize,24,12,47,20-20
29.3,73.2,60.1,Sandy,Pulses,37,3,45,28-28
34.2,74.3,56.9,Red,Groundnuts,18,10,44,20-20
28.9,40.3,38.0,Clayey,Rice,11,14,6,20-20
25.8,60.2,34.5,Red,Sugarcane,48,43,34,17-17-17
29.7,47.6,50.7,Black,Groundnuts,1,8,45,DAP
35.3,63.4,44.2,Sandy,Wheat,28,24,25,17-17-17
28.5,51.1,44.1,Black,Sugarcane,42,22,47,17-17-17
32.4,83.0,25.7,Clayey,Groundnuts,22,15,42,20-20
37.1,69.5,40.2,Laterite,Sugarcane,3,12,20,20-20
20.0,61.9,35.3,Red,Groundnuts,45,28,26,17-17-17
30.2,72.2,35.9,Black,Wheat,3,24,25,20-20
35.2,76.0,32.4,Loamy,Millets,48,41,41,17-17-17
26.5,43.9,57.6,Laterite,Barley,43,41,44,17-17-17
34.4,79.8,34.1,Clayey,Millets,8,9,14,20-20
25.2,80.8,55.8,Black,Barley,48,26,25,17-17-17
23.5,77.0,41.9,Laterite,Sugarcane,9,17,24,20-20
21.0,59.1,31.1,Laterite,Wheat,48,43,34,17-17-17
22.3,44.3,25.9,Alluvial,Maize,14,27,34,20-20
22.6,57.6,48.8,Red,Millets,24,34,1,14-35-14
31.5,59.9,42.8,Sandy,Millets,40,10,48,28-28
34.4,67.1,38.5,Laterite,Millets,31,44,38,17-17-17
35.9,48.6,37.9,Sandy,Cotton,5,38,40,10-26-26
28.4,43.0,57.0,Sandy,Cotton,26,20,31,20-20
29.9,70.6,34.2,Clayey,Barley,2,5,21,20-20
25.6,56.3,64.8,Loamy,Maize,22,7,29,20-20
19.8,83.3,50.4,Laterite,Groundnuts,46,41,15,20-20
33.1,55.6,51.6,Loamy,Pulses,19,15,2,20-20
37.5,40.9,54.5,Laterite,Millets,43,29,0,14-35-14
30.5,44.0,55.2,Laterite,Sugarcane,32,11,15,20-20
32.2,41.6,37.1,Laterite,Groundnuts,49,1,44,28-28
24.9,50.8,45.4,Sandy,Pulses,2,25,22,20-20
28.3,81.4,44.9,Black,Cotton,21,41,36,17-17-17
28.8,68.3,52.0,Black,Rice,41,13,29,28-28
33.8,53.7,28.2,Red,Groundnuts,20,1,34,20-20
24.9,83.9,50.6,Red,Maize,24,24,1,14-35-14
36.5,61.9,49.3,Alluvial,Groundnuts,45,34,2,14-35-14
20.9,56.5,27.7,Clayey,Pulses,33,24,3,14-35-14
29.0,83.5,42.3,Sandy,Cotton,12,13,30,20-20
23.6,78.3,25.0,Black,Cotton,42,22,1,14-35-14
19.2,75.1,43.4,Loamy,Wheat,1,49,10,10-26-26
37.7,50.8,30.7,Loamy,Barley,8,45,27,10-26-26
31.8,42.8,45.4,Loamy,Wheat,38,16,39,20-20
22.4,47.8,51.2,Loamy,Sugarcane,37,49,38,17-17-17
26.1,69.4,39.2,Laterite,Sugarcane,26,21,27,17-17-17
25.7,83.4,34.9,Sandy,Millets,26,37,20,20-20
31.6,48.5,49.8,Black,Sugarcane,12,25,20,20-20
37.5,76.1,63.4,Sandy,Maize,35,34,16,20-20
30.9,62.5,35.6,Laterite,Rice,25,33,3,14-35-14
31.0,76.5,49.6,Laterite,Cotton,28,41,37,17-17-17
35.8,83.0,56.5,Black,Sugarcane,8,0,40,DAP
19.5,52.6,62.2,Laterite,Maize,39,27,20,20-20
25.7,60.3,34.1,Black,Millets,16,23,22,20-20
32.7,63.0,52.2,Sandy,Wheat,12,22,7,20-20
34.0,44.7,26.4,Sandy,Rice,19,39,20,10-26-26
23.9,55.7,56.0,Loamy,Tobacco,6,42,27,10-26-26
29.0,77.4,27.7,Sandy,Tobacco,9,46,37,10-26-26
33.6,50.3,64.0,Loamy,Rice,14,2,49,DAP
30.3,74.9,50.8,Laterite,Rice,49,20,9,20-20
27.5,45.1,44.4,Laterite,Cotton,31,15,30,20-20
18.9,45.0,48.9,Red,Maize,8,39,24,10-26-26
21.3,52.3,62.1,Alluvial,Tobacco,43,45,31,17-17-17
23.7,76.7,59.5,Sandy,Rice,48,40,11,14-35-14
33.1,60.7,58.7,Sandy,Maize,39,6,45,28-28
19.1,54.4,55.1,Laterite,Millets,24,27,21,17-17-17
20.6,72.7,57.7,Black,Maize,30,22,14,14-35-14
32.7,64.4,48.6,Laterite,Barley,2,22,18,20-20
30.7,74.3,31.4,Laterite,Millets,41,7,15,20-20
32.5,84.6,29.0,Laterite,Rice,31,33,41,17-17-17
32.8,76.7,49.6,Black,Pulses,1,47,40,10-26-26
28.5,78.2,58.6,Laterite,Pulses,11,13,16,20-20
33.2,70.5,55.3,Black,Pulses,30,18,5,20-20
25.4,60.2,53.9,Black,Sugarcane,23,25,34,17-17-17
26.3,71.3,25.1,Clayey,Sugarcane,37,3,45,28-28
19.9,66.5,44.2,Sandy,Pulses,13,23,2,20-20
29.2,65.2,49.1,Black,Sugarcane,33,17,29,20-20
18.5,54.5,50.5,Loamy,Wheat,18,23,21,20-20
22.2,77.1,45.8,Clayey,Tobacco,44,29,35,17-17-17
26.7,44.0,33.8,Alluvial,Millets,27,10,46,28-28
24.0,47.8,50.5,Laterite,Pulses,19,46,47,10-26-26
34.8,57.3,47.9,Loamy,Groundnuts,15,9,4,20-20
18.5,41.1,58.3,Red,Maize,44,16,5,20-20
19.1,78.4,34.0,Sandy,Wheat,4,36,28,10-26-26
26.7,82.2,53.2,Alluvial,Cotton,25,38,3,14-35-14
36.2,75.1,25.3,Black,Millets,40,43,45,17-17-17
36.5,61.2,25.5,Loamy,Pulses,23,41,43,17-17-17
23.5,52.4,56.5,Laterite,Groundnuts,9,15,15,20-20
27.0,75.0,27.6,Loamy,Groundnuts,44,42,35,17-17-17
36.1,46.3,46.3,Black,Cotton,32,6,26,28-28
22.7,73.0,46.9,Loamy,Groundnuts,23,47,14,14-35-14
19.0,58.8,35.4,Sandy,Millets,36,17,20,20-20
32.5,48.6,38.5,Red,Sugarcane,24,11,20,20-20
20.3,46.8,34.0,Sandy,Pulses,41,21,6,14-35-14
28.5,45.2,59.4,Alluvial,Millets,42,38,40,17-17-17
28.9,43.7,43.3,Alluvial,Groundnuts,0,20,9,20-20
31.3,49.7,28.9,Black,Sugarcane,15,38,47,10-26-26
19.2,63.1,57.3,Laterite,Groundnuts,9,48,34,10-26-26
21.3,54.9,55.3,Sandy,Millets,21,39,14,14-35-14
35.6,79.2,34.6,Loamy,Sugarcane,40,27,39,17-17-17
18.5,42.9,43.6,Alluvial,Tobacco,7,32,43,10-26-26
34.0,56.7,43.1,Laterite,Tobacco,49,18,42,20-20
21.9,48.4,28.8,Red,Sugarcane,27,35,40,17-17-17
24.2,68.9,32.8,Sandy,Sugarcane,45,17,39,20-20
31.9,75.7,37.7,Laterite,Tobacco,2,2,44,DAP
37.7,46.3,33.1,Red,Maize,7,31,36,10-26-26
34.0,83.5,59.3,Laterite,Sugarcane,8,10,11,20-20
26.4,84.3,51.7,Alluvial,Millets,12,3,33,DAP
26.5,47.3,25.5,Black,Groundnuts,24,32,2,14-35-14
34.5,49.4,40.2,Alluvial,Cotton,34,28,27,17-17-17
36.4,45.0,55.4,Laterite,Pulses,10,46,1,10-26-26
23.1,76.9,60.2,Sandy,Pulses,29,47,25,17-17-17
34.5,44.5,34.6,Laterite,Sugarcane,33,46,40,17-17-17
30.3,59.6,48.1,Black,Maize,16,43,4,10-26-26
20.5,70.4,38.0,Alluvial,Wheat,39,46,27,17-17-17
35.1,50.2,58.5,Clayey,Millets,22,3,2,20-20
22.3,56.2,27.7,Alluvial,Tobacco,45,35,13,14-35-14
34.1,42.7,61.0,Loamy,Rice,32,26,5,14-35-14
20.2,60.1,43.4,Red,Millets,35,34,7,14-35-14
34.0,61.6,25.7,Clayey,Wheat,39,13,23,20-20
23.6,78.6,36.7,Clayey,Tobacco,2,18,41,20-20
18.4,83.3,54.1,Laterite,Pulses,18,13,46,20-20
20.4,43.1,35.5,Clayey,Barley,8,24,32,20-20
22.5,72.9,49.0,Red,Sugarcane,3,7,27,20-20
24.6,55.3,64.6,Alluvial,Maize,15,48,28,10-26-26
37.9,78.5,45.9,Red,Wheat,4,19,47,20-20
27.8,73.2,46.0,Red,Sugarcane,8,34,3,10-26-26
35.6,65.7,45.7,Black,Rice,46,11,39,28-28
27.3,46.2,38.6,Laterite,Groundnuts,28,39,21,17-17-17
26.9,75.5,50.6,Red,Sugarcane,6,27,27,20-20
33.7,83.7,35.5,Clayey,Cotton,23,26,33,17-17-17
28.1,68.5,27.8,Alluvial,Millets,24,16,17,20-20
36.1,50.7,43.8,Black,Groundnuts,28,48,44,17-17-17
30.2,52.6,33.3,Clayey,Wheat,12,48,37,10-26-26
34.7,78.0,36.4,Clayey,Rice,38,48,20,20-20
18.9,52.5,57.7,Red,Tobacco,48,16,40,20-20
24.9,62.8,60.0,Sandy,Barley,12,45,10,10-26-26
20.6,52.4,40.8,Red,Wheat,43,11,18,20-20
32.3,67.4,37.4,Sandy,Barley,44,38,25,17-17-17
18.0,68.6,27.0,Sandy,Tobacco,44,22,46,17-17-17
35.4,51.6,51.6,Loamy,Rice,32,17,35,20-20
29.9,64.7,61.0,Red,Sugarcane,11,40,14,10-26-26
31.4,70.5,39.5,Black,Millets,10,9,12,20-20
36.3,67.6,59.9,Red,Maize,19,26,5,20-20
28.6,77.3,64.7,Black,Sugarcane,1,40,16,10-26-26
27.7,66.0,26.7,Red,Wheat,20,30,48,20-20
34.3,43.0,40.5,Loamy,Pulses,42,35,17,20-20
23.5,53.8,56.6,Sandy,Wheat,43,31,33,17-17-17
35.2,81.2,42.2,Red,Wheat,39,47,10,14-35-14
30.0,71.8,52.5,Red,Tobacco,38,27,33,17-17-17
20.9,80.1,38.8,Loamy,Sugarcane,19,28,18,20-20
25.6,40.3,40.4,Laterite,Tobacco,26,48,10,14-35-14
34.9,63.9,58.7,Clayey,Rice,11,0,37,DAP
20.8,61.9,26.1,Alluvial,Cotton,2,44,10,10-26-26
18.8,41.4,40.5,Black,Cotton,41,5,49,28-28
20.6,77.6,39.8,Clayey,Sugarcane,36,22,34,17-17-17
37.9,64.5,28.5,Laterite,Groundnuts,46,44,16,20-20
37.6,61.5,46.3,Laterite,Groundnuts,44,22,21,17-17-17
24.0,51.7,32.8,Red,Wheat,48,45,20,20-20
34.6,64.5,31.6,Laterite,Sugarcane,23,12,34,20-20
22.1,75.2,54.4,Red,Maize,17,21,39,20-20
27.2,72.9,30.9,Black,Pulses,4,36,16,10-26-26
22.6,83.4,61.4,Clayey,Cotton,10,46,44,10-26-26
32.9,64.7,27.3,Sandy,Groundnuts,19,45,40,10-26-26
37.4,82.7,45.5,Laterite,Tobacco,43,31,43,17-17-17
24.0,62.1,45.9,Loamy,Groundnuts,23,14,22,20-20
29.5,79.0,64.2,Red,Pulses,17,46,27,10-26-26
37.1,49.0,29.4,Loamy,Cotton,44,16,16,20-20
35.9,42.8,60.3,Alluvial,Rice,4,46,12,10-26-26
27.5,70.9,53.9,Black,Millets,9,20,41,20-20
23.6,49.5,63.3,Alluvial,Maize,46,18,34,20-20
34.6,53.3,25.6,Black,Maize,0,24,35,20-20
19.4,40.3,62.5,Alluvial,Sugarcane,8,35,0,10-26-26
20.1,58.0,53.9,Black,Wheat,13,29,3,20-20
25.0,45.0,57.3,Red,Groundnuts,44,33,31,17-17-17
35.4,70.7,29.5,Red,Wheat,33,15,41,20-20
20.9,72.0,51.7,Laterite,Groundnuts,30,38,33,17-17-17
36.6,58.2,61.2,Loamy,Wheat,28,38,38,17-17-17
30.8,84.1,49.1,Alluvial,Rice,18,21,24,20-20
28.1,60.2,48.4,Loamy,Rice,7,31,19,10-26-26
27.3,50.6,37.1,Clayey,Maize,14,29,21,20-20
36.3,72.4,41.1,Sandy,Cotton,30,33,13,14-35-14
32.4,52.2,41.1,Black,Maize,30,28,48,17-17-17
23.5,71.8,27.5,Black,Tobacco,49,40,7,14-35-14
36.8,43.7,62.2,Sandy,Groundnuts,0,18,42,20-20
35.3,65.7,61.3,Red,Pulses,12,48,18,10-26-26
31.5,45.2,26.7,Laterite,Groundnuts,28,26,32,17-17-17
18.1,47.5,53.5,Loamy,Pulses,12,32,36,10-26-26
20.6,70.4,62.8,Laterite,Barley,8,19,20,20-20
30.9,42.2,39.4,Red,Wheat,47,27,38,17-17-17
27.2,49.4,39.7,Red,Pulses,43,6,40,28-28
26.3,77.0,59.0,Sandy,Pulses,15,8,8,20-20
32.6,69.1,56.8,Red,Groundnuts,22,44,44,17-17-17
